Entity,FE_CODE,LongName,Frequency,Period,FE_Data_Group,Data_Type,Source,FE_Publication,FE_Publication_Date,Value
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-10-2011,04-10-2011,2.149477
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-10-2011,04-10-2011,2.085936
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-10-2011,04-10-2011,2.354496
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-10-2011,04-10-2011,2.674757
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2010,Historical forecasts,Consensus,FocusEconomics,01-03-2010,02-03-2010,3.049781
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2010,Historical forecasts,Consensus,FocusEconomics,01-03-2010,02-03-2010,2.877768
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2010,Historical forecasts,Consensus,FocusEconomics,01-03-2010,02-03-2010,2.707597
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-03-2010,02-03-2010,2.952225
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-03-2010,02-03-2010,2.94399
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-03-2010,02-03-2010,3.039366
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2010,Historical forecasts,Consensus,FocusEconomics,01-04-2010,30-03-2010,2.957291
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2010,Historical forecasts,Consensus,FocusEconomics,01-04-2010,30-03-2010,2.810638
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-04-2010,30-03-2010,3.033988
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-04-2010,30-03-2010,2.986519
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-04-2010,30-03-2010,3.073282
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-10-2010,05-10-2010,2.217874
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-10-2010,05-10-2010,2.369828
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-10-2010,05-10-2010,2.722718
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2011,Historical forecasts,Consensus,FocusEconomics,01-10-2010,05-10-2010,2.939993
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-10-2010,05-10-2010,3.131577
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-03-2011,01-03-2011,3.371246
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-03-2011,01-03-2011,3.430642
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2011,Historical forecasts,Consensus,FocusEconomics,01-03-2011,01-03-2011,3.421591
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-03-2011,01-03-2011,3.433082
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2011,Historical forecasts,Consensus,FocusEconomics,01-08-2011,02-08-2011,3.179048
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-08-2011,02-08-2011,3.24534
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-08-2011,02-08-2011,2.539381
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-08-2011,02-08-2011,3.021683
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-08-2011,02-08-2011,3.217374
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-08-2011,02-08-2011,3.31666
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-11-2011,01-11-2011,1.740438
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-11-2011,01-11-2011,1.769689
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-11-2011,01-11-2011,2.117001
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-11-2011,01-11-2011,2.509875
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-11-2011,01-11-2011,2.699056
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-12-2011,29-11-2011,2.032883
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-12-2011,29-11-2011,1.818267
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-12-2011,29-11-2011,2.152667
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-12-2011,29-11-2011,2.450298
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-12-2011,29-11-2011,2.613797
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-05-2012,30-04-2012,2.15255
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2010,Historical forecasts,Consensus,FocusEconomics,01-06-2010,01-06-2010,3.469717
